"row_id","split","cv_fold"
1,"train",1
2,"train",2
3,"train",3
4,"train",4
5,"test",
6,"train",5
7,"train",6
8,"train",7
9,"train",8
10,"test",
11,"train",9
12,"train",10
13,"train",1
14,"train",2
15,"test",
16,"train",3
17,"train",4
18,"train",5
19,"train",6
20,"test",
21,"train",7
22,"train",8
23,"train",9
24,"train",10
25,"test",
26,"train",1
27,"train",2
28,"train",3
29,"train",4
30,"test",
31,"train",5
32,"train",6
33,"train",7
34,"train",8
35,"test",
36,"train",9
37,"train",10
38,"train",1
39,"train",2
40,"test",
41,"train",3
42,"train",4
43,"train",5
44,"train",6
45,"test",
46,"train",7
47,"train",8
48,"train",9
49,"train",10
50,"test",
51,"train",1
52,"train",2
53,"train",3
54,"train",4
55,"test",
56,"train",5
57,"train",6
58,"train",7
59,"train",8
60,"test",
61,"train",9
62,"train",10
63,"train",1
64,"train",2
65,"test",
66,"train",3
67,"train",4
68,"train",5
69,"train",6
70,"test",
71,"train",7
72,"train",8
73,"train",9
74,"train",10
75,"test",
76,"train",1
77,"train",2
78,"train",3
79,"train",4
80,"test",
81,"train",5
82,"train",6
83,"train",7
84,"train",8
85,"test",
86,"train",9
87,"train",10
88,"train",1
89,"train",2
90,"test",
91,"train",3
92,"train",4
93,"train",5
94,"train",6
95,"test",
96,"train",7
97,"train",8
98,"train",9
99,"train",10
100,"test",
101,"train",1
102,"train",2
103,"train",3
104,"train",4
105,"test",
106,"train",5
107,"train",6
108,"train",7
109,"train",8
110,"test",
111,"train",9
112,"train",10
113,"train",1
114,"train",2
115,"test",
116,"train",3
117,"train",4
118,"train",5
119,"train",6
120,"test",
121,"train",7
122,"train",8
123,"train",9
124,"train",10
125,"test",
126,"train",1
127,"train",2
128,"train",3
129,"train",4
130,"test",
131,"train",5
132,"train",6
133,"train",7
134,"train",8
135,"test",
136,"train",9
137,"train",10
138,"train",1
139,"train",2
140,"test",
141,"train",3
142,"train",4
143,"train",5
144,"train",6
145,"test",
146,"train",7
147,"train",8
148,"train",9
149,"train",10
150,"test",
151,"train",1
152,"train",2
153,"train",3
154,"train",4
