"row_id","split","cv_fold"
1,"test",NA
2,"train",3
3,"test",NA
4,"test",NA
5,"train",3
6,"test",NA
7,"train",8
8,"train",9
9,"train",6
10,"test",NA
11,"train",2
12,"train",1
13,"train",5
14,"test",NA
15,"train",8
16,"train",8
17,"train",8
18,"train",8
19,"train",1
20,"train",6
21,"train",8
22,"test",NA
23,"train",5
24,"train",10
25,"train",7
26,"train",3
27,"train",10
28,"train",8
29,"train",1
30,"train",3
31,"test",NA
32,"train",8
33,"test",NA
34,"train",6
35,"test",NA
36,"train",1
37,"train",3
38,"test",NA
39,"train",3
40,"train",1
41,"train",4
42,"train",1
43,"train",9
44,"train",2
45,"train",8
46,"train",4
47,"train",4
48,"train",4
49,"test",NA
50,"train",9
51,"train",9
52,"train",3
53,"train",3
54,"train",8
55,"train",6
56,"train",2
57,"train",3
58,"test",NA
59,"train",2
60,"train",10
61,"train",9
62,"train",9
63,"train",7
64,"train",6
65,"test",NA
66,"train",1
67,"train",8
68,"train",7
69,"train",10
70,"train",5
71,"train",5
72,"train",8
73,"test",NA
74,"train",1
75,"train",6
76,"train",5
77,"train",2
78,"train",7
79,"test",NA
80,"train",3
81,"test",NA
82,"train",7
83,"train",5
84,"train",1
85,"test",NA
86,"train",10
87,"train",2
88,"test",NA
89,"train",10
90,"train",10
91,"train",4
92,"train",1
93,"test",NA
94,"train",3
95,"train",8
96,"train",6
97,"train",2
98,"train",5
99,"train",7
100,"test",NA
101,"train",8
102,"test",NA
103,"train",8
104,"test",NA
105,"train",1
106,"train",10
107,"train",6
108,"train",2
109,"test",NA
110,"train",9
111,"test",NA
112,"train",2
113,"train",7
114,"train",7
115,"train",2
116,"train",6
117,"test",NA
118,"test",NA
119,"test",NA
120,"train",7
121,"train",7
122,"train",2
123,"train",4
124,"train",10
125,"train",5
126,"train",2
127,"train",9
128,"test",NA
129,"test",NA
130,"test",NA
131,"train",3
132,"train",3
133,"train",9
134,"train",7
135,"test",NA
136,"train",3
137,"train",5
138,"train",9
139,"train",5
140,"train",9
141,"train",4
142,"train",9
143,"train",7
144,"train",5
145,"train",2
146,"train",7
147,"test",NA
148,"train",5
149,"train",9
150,"test",NA
151,"train",7
152,"train",7
153,"train",1
154,"train",6
155,"train",9
156,"train",6
157,"train",7
158,"train",3
159,"train",6
160,"test",NA
161,"train",10
162,"train",8
163,"train",6
164,"train",1
165,"train",3
166,"train",9
167,"train",7
168,"train",9
169,"train",9
170,"train",8
171,"train",2
172,"test",NA
173,"test",NA
174,"train",6
175,"train",10
176,"train",8
177,"train",5
178,"train",10
179,"train",7
180,"train",7
181,"train",4
182,"train",10
183,"train",8
184,"train",2
185,"train",3
186,"train",9
187,"train",1
188,"train",2
189,"test",NA
190,"train",8
191,"train",10
192,"train",5
193,"train",1
194,"train",1
195,"train",9
196,"test",NA
197,"train",5
198,"train",3
199,"train",9
200,"train",5
201,"train",4
202,"test",NA
203,"train",4
204,"test",NA
205,"train",4
206,"train",9
207,"train",4
208,"train",2
209,"train",10
210,"test",NA
211,"train",7
212,"test",NA
213,"test",NA
214,"train",2
215,"train",3
216,"train",7
217,"test",NA
218,"train",8
219,"test",NA
220,"test",NA
221,"train",2
222,"train",4
223,"train",6
224,"train",1
225,"train",8
226,"train",1
227,"train",9
228,"train",8
229,"train",10
230,"train",2
231,"train",10
232,"train",10
233,"train",2
234,"train",5
235,"train",5
236,"train",6
237,"train",7
238,"train",4
239,"test",NA
240,"train",1
241,"train",8
242,"train",3
243,"train",9
244,"train",2
245,"test",NA
246,"train",7
247,"test",NA
248,"test",NA
249,"train",5
250,"train",2
251,"train",10
252,"train",1
253,"train",3
254,"train",1
255,"train",5
256,"test",NA
257,"train",7
258,"train",4
259,"train",6
260,"train",4
261,"train",9
262,"test",NA
263,"train",4
264,"train",7
265,"test",NA
266,"train",3
267,"train",9
268,"train",4
269,"train",6
270,"train",3
271,"test",NA
272,"test",NA
273,"test",NA
274,"train",9
275,"test",NA
276,"train",10
277,"test",NA
278,"train",3
279,"train",6
280,"train",5
281,"train",3
282,"train",9
283,"train",6
284,"train",4
285,"train",5
286,"test",NA
287,"train",8
288,"test",NA
289,"train",4
290,"train",7
291,"train",8
292,"train",9
293,"train",10
294,"train",5
295,"train",9
296,"train",5
297,"train",2
298,"train",8
299,"train",4
300,"train",9
301,"train",10
302,"train",4
303,"test",NA
304,"train",7
305,"train",4
306,"train",8
307,"train",9
308,"test",NA
309,"train",2
310,"test",NA
311,"train",5
312,"test",NA
313,"train",5
314,"train",7
315,"train",2
316,"train",1
317,"train",4
318,"test",NA
319,"train",3
320,"test",NA
321,"train",5
322,"train",7
323,"train",1
